pair_index,pair_t0_ns,pair_t1_ns,gt_t0_ns,gt_t1_ns,gt_tx,gt_ty,gt_tz,gt_rot_err_rad_ref0,ceres_tx,ceres_ty,ceres_tz,ceres_t_err_m,ceres_r_err_rad,gpu_tx,gpu_ty,gpu_tz,gpu_t_err_m,gpu_r_err_rad,gpu_available
34,1771545058025040504,1771545058124883928,1771545058025986296,1771545058125656504,4.55529e-05,1.9008e-05,-3.0634e-07,0,0.0131535,-0.0502828,-0.0170384,0.0547027,0.0267807,0.0131678,-0.0503533,-0.0170232,0.0547663,0.0268207,1
35,1771545058124883928,1771545058223427320,1771545058125656504,1771545058221670008,-6.80068e-05,-2.51641e-05,3.96659e-05,0,-0.0432304,0.0151162,0.0159659,0.0484345,0.0174627,-0.0432303,0.0151202,0.0159646,0.0484352,0.0174627,1
36,1771545058223427320,1771545058327170328,1771545058221670008,1771545058325610776,2.41464e-05,3.5627e-05,-7.55158e-05,0,0.0145509,-0.0105909,-0.00406725,0.0184359,0.0168016,0.0145529,-0.0105831,-0.00407062,0.0184338,0.0168016,1
37,1771545058327170328,1771545058423254872,1771545058325610776,1771545058421858904,3.10953e-05,-5.88218e-06,-3.06399e-05,0,0.000843449,-0.0538347,0.00936982,0.0546496,0.025611,0.000843166,-0.0538309,0.00936874,0.0546456,0.025611,1
38,1771545058423254872,1771545058524891896,1771545058421858904,1771545058525788600,3.93719e-06,2.14792e-05,4.65605e-05,0,0.00102414,-0.0421462,-0.00354885,0.0423329,0.0206588,0.00101064,-0.0421048,-0.00355611,0.042292,0.0206934,1
39,1771545058524891896,1771545058630529528,1771545058525788600,1771545058597253400,1.51213e-05,-2.28845e-05,-1.51558e-05,0,-0.0123272,-0.0393079,-0.00593629,0.0416018,0.0164937,-0.0123175,-0.0393089,-0.00594057,0.0416004,0.0165009,1
40,1771545058630529528,1771545058724655928,1771545058597253400,1771545058791930360,-6.64527e-05,-4.42231e-05,2.30532e-05,0,-0.00119419,-0.0275174,-0.0402194,0.0487392,0.0170761,-0.00119581,-0.0274988,-0.0402248,0.0487331,0.0170901,1
41,1771545058724655928,1771545058824210200,1771545058791930360,1771545058825713464,4.72205e-05,2.99309e-05,-2.09831e-05,0,0.000778289,-0.021691,-0.00154327,0.0217865,0.0062721,0.00086053,-0.0218011,-0.00152568,0.0218979,0.00636642,1
42,1771545058824210200,1771545058924571320,1771545058825713464,1771545058923758552,-6.13168e-05,3.99487e-05,-3.0577e-06,0,-0.0321402,-0.042348,0.0063301,0.0535341,0.0224826,-0.0321357,-0.0421856,0.00627254,0.0533961,0.0226043,1
43,1771545058924571320,1771545059024369240,1771545058923758552,1771545059025733464,4.42277e-05,-5.63511e-05,7.39448e-05,0,0.0048012,0.02497,-0.0133138,0.0287781,0.0115961,0.00479067,0.0249788,-0.013312,0.0287831,0.0116166,1
44,1771545059024369240,1771545059124528248,1771545059025733464,1771545059121431544,1.36831e-05,8.67465e-05,-6.05524e-05,0,0.0211645,-0.0490732,0.0114708,0.0547451,0.0199662,0.0211736,-0.049087,0.011471,0.0547611,0.0199781,1
45,1771545059124528248,1771545059224148568,1771545059121431544,1771545059225366296,0.000118126,2.56802e-05,8.07474e-05,0,0.00684244,-0.0586772,-0.0453515,0.0745342,0.0158223,0.0068455,-0.0586881,-0.045349,0.0745414,0.0158298,1
46,1771545059224148568,1771545059324281592,1771545059225366296,1771545059325271064,-0.000191742,-0.000121537,-6.42775e-05,0,-0.00768039,-0.0295195,-0.0236874,0.0384496,0.0164792,-0.00766209,-0.0295257,-0.0236918,0.0384535,0.0165009,1
47,1771545059324281592,1771545059424281176,1771545059325271064,1771545059425320216,8.31196e-05,4.15727e-05,-1.38711e-06,0,0.00346607,0.00202507,0.00568016,0.00690352,0.0143526,0.00346481,0.002029,0.00567979,0.00690373,0.0143526,1
48,1771545059424281176,1771545059524622648,1771545059425320216,1771545059525436376,-1.26631e-06,-3.36077e-06,3.56161e-05,0,-0.0349781,-0.0394204,-0.0285408,0.0599474,0.0262229,-0.0349686,-0.0393491,-0.0285656,0.0599069,0.0262774,1
49,1771545059524622648,1771545059623263352,1771545059525436376,1771545059621622232,-1.29284e-05,8.10418e-06,-4.91084e-05,0,-0.0168571,0.00872791,0.0368924,0.0415263,0.0416073,-0.0168516,0.00875325,0.0368832,0.0415212,0.0416245,1
50,1771545059623263352,1771545059724634872,1771545059621622232,1771545059725283448,2.82497e-05,-3.96026e-06,2.49574e-05,0,0.0039375,-0.0250855,-0.0179145,0.0310836,0.0126672,0.00400735,-0.0251051,-0.0179099,0.0311056,0.012789,1
